R_over_a,d_over_a,angle_degrees,coupled_vs_decoupled_count_distance,DOS_L1_sigma_0.01,DOS_L1_sigma_0.02,DOS_L1_sigma_0.04
20.0,0.99,0.0,0.5525942369001267,0.964789013676929,0.891379265684695,0.8559243934314034
20.0,0.99,15.0,0.04953448021958268,0.3939783196211978,0.2589356000176044,0.18656719362514304
20.0,0.99,30.0,0.04447662765890395,0.369008058428309,0.2245225104157486,0.14544663001957753
20.0,0.97,0.0,1.2439938713101153,1.1606823696307966,1.1022354063280593,1.074494357333478
20.0,0.97,15.0,0.14015470615835832,0.5431647725593935,0.42734247829757355,0.35203469702066587
20.0,0.97,30.0,0.12875230993075065,0.4780149884954602,0.35395529128159725,0.2829690329387755
25.0,0.99,0.0,0.5632890338391484,0.907641026803115,0.8789788123993164,0.8694909605936056
25.0,0.99,15.0,0.050525387261174684,0.298842837814637,0.21650160715782935,0.1803609116665988
25.0,0.99,30.0,0.04544414446461377,0.2832600781185797,0.1879905175338336,0.1458087417008098
25.0,0.97,0.0,1.2442786944104745,1.1197486967632688,1.101510038861122,1.0896490763994402
25.0,0.97,15.0,0.14582438772670867,0.44897692425631364,0.37488106001317134,0.3344900600748383
25.0,0.97,30.0,0.1334546565650714,0.4158738233714453,0.3341347952327203,0.28624238333975627
30.0,0.99,0.0,0.5609166771243708,0.8970589723537435,0.8738960931508668,0.8662060992471086
30.0,0.99,15.0,0.0485835237484749,0.27738059479882793,0.21546120131695679,0.1829677874349559
30.0,0.99,30.0,0.04602350777309279,0.2562334803093549,0.1844083428713516,0.14816201859963474
30.0,0.97,0.0,1.2432133499793074,1.1195058155151019,1.1014446417346595,1.0915273911952537
30.0,0.97,15.0,0.13909708042190116,0.4506854202070893,0.38755427383093644,0.3381457920904454
30.0,0.97,30.0,0.1349372265352874,0.39590792834815713,0.32740334503241597,0.2826931754994576
