R_left,R_right,d_over_a,angle_degrees,integrated_count_distance,DOS_L1_sigma_0.01,DOS_L1_sigma_0.02,DOS_L1_sigma_0.04
20.0,25.0,0.99,0.0,0.010640620004037387,0.2650163101926632,0.11685578473859604,0.03880500951974035
20.0,25.0,0.99,15.0,0.010243992487461037,0.16819035586371653,0.0883199916438557,0.04766528195237971
20.0,25.0,0.99,30.0,0.013636914121890126,0.16694096550482018,0.09009196638568298,0.05272853281065849
20.0,25.0,0.97,0.0,0.013897746723764242,0.2970620761373105,0.13240388005388443,0.04200048241217792
20.0,25.0,0.97,15.0,0.013625866968952377,0.23470745537027682,0.14653639019059184,0.08497234562228641
20.0,25.0,0.97,30.0,0.015923516917817952,0.2248122468486431,0.14381790627365748,0.08716538083663336
25.0,30.0,0.99,0.0,0.004636426883396697,0.17520083109732543,0.061618211656463404,0.011178719790040207
25.0,30.0,0.99,15.0,0.003986887339129082,0.11463968891408274,0.06134184829500486,0.029613722944280274
25.0,30.0,0.99,30.0,0.004837511810934427,0.12102631196860172,0.06510486384319908,0.03243679944891696
25.0,30.0,0.97,0.0,0.0053500180387182315,0.20830311903963433,0.07301700432415806,0.012801107452309352
25.0,30.0,0.97,15.0,0.007580052027751166,0.159679307885854,0.09991090794348924,0.056286684387371826
25.0,30.0,0.97,30.0,0.00919156475784372,0.178976405008001,0.11139184440079349,0.06681796459029744
