series,index,angle_deg,input_present,output_present,cp2k_version,run_type,basis,scf_converged,program_ended,scf_steps,multiplicity,relative_cutoff_ha,input_sha256,output_sha256,atoms,lower_c,upper_c,hydrogen,separation_angstrom,xyz_sha256,input_cutoff,input_ngrids,input_eps_default,input_eps_scf,input_max_scf,input_scf_guess,input_added_mos,input_electronic_temperature,input_periodic,alpha_present,alpha_rows,alpha_fermi_ha,alpha_emin_ev,alpha_emax_ev,alpha_sha256,alpha_output_mos,alpha_electrons,alpha_rows_match_output,beta_present,beta_rows,beta_fermi_ha,beta_emin_ev,beta_emax_ev,beta_sha256,beta_output_mos,beta_electrons,beta_rows_match_output
DZVP_IL_25/IL_25_z2-15,0,30.0,True,True,2023.1,ENERGY,DZVP-MOLOPT-GTH,True,True,50,2,20.0,e33c6bb8e60137e11924b33f0ad48c6a46f9cd4386fdfd698740344fb2aed195,47721fff8f9953c3283e9ada045da10261ac8c2dfe46fddc759127dafe5b6247,2358,1250,1009,99,2.15,ec5ae62614c979d6267ad9033f9795b23375187483b0cefb847712c1b6fc823a,300,5,1.0E-10,1.0E-5,6000,ATOMIC,300,[K]  300,XYZ,True,4868,0.031399,-21.371358400071998,2.4104932402559998,2d44641eff568305afa8a591117df90cfee45b74f69fc3d296555c7c46210b97,4868,4568,True,True,4867,0.031399,-21.371331188687996,2.397159662096,24fe08057fd634442d731daefd04ba06f8ff4efedb0c7f5e3010170870a44aec,4867,4567,True
DZVP_IL_25/IL_25_z2-15,10,36.0,True,True,2023.1,ENERGY,DZVP-MOLOPT-GTH,True,True,34,2,20.0,e33c6bb8e60137e11924b33f0ad48c6a46f9cd4386fdfd698740344fb2aed195,0f669348173d653d236b10ffabfc9da22f83cf746ee63d60b7a82aae15cad564,2348,1250,999,99,2.15,7ff61654f4a0e16a5cba992ef1d2a539d8e1b353976f7cafc90a38dabc5806f2,300,5,1.0E-10,1.0E-5,6000,ATOMIC,300,[K]  300,XYZ,True,4848,0.031979,-21.458870211016,2.394765060304,925079766130da8a314c3df64187d3929ca560b7add84487a9330ad3ea4565aa,4848,4548,True,True,4847,0.031979,-21.458870211016,2.385159441752,007d37ed0197ff91798e70c413fa29abf1088666e4272d7234038df62d0f7fbc,4847,4547,True
DZVP_IL_25/IL_25_z2-15,11,36.6,True,True,2023.1,ENERGY,DZVP-MOLOPT-GTH,True,True,32,1,20.0,e33c6bb8e60137e11924b33f0ad48c6a46f9cd4386fdfd698740344fb2aed195,3c21f6b1cad9337ce744d4677fa3efbf77cb03e30851b0a8dfffdf64f7410513,2350,1250,1002,98,2.15,899f0ab83e6b9ab1a6359b9661ff35151c258efb31c36405e3db948917036008,300,5,1.0E-10,1.0E-5,6000,ATOMIC,300,[K]  300,XYZ,True,4853,0.031957,-21.44433933196,2.414248411248,d4b1c5b09e7a858bd15096a2b9f40191d1dcc04ed393443350b3820a1a7ef776,4853,4553,True,True,4853,0.031957,-21.44433933196,2.414248411248,d4b1c5b09e7a858bd15096a2b9f40191d1dcc04ed393443350b3820a1a7ef776,4853,4553,True
DZVP_IL_25/IL_25_z2-15,12,37.2,True,True,2023.1,ENERGY,DZVP-MOLOPT-GTH,True,True,36,1,20.0,e33c6bb8e60137e11924b33f0ad48c6a46f9cd4386fdfd698740344fb2aed195,19c2edab71aa41d2a7b9cc61781d66114b681374469854b4d832b8d5297578e6,2346,1250,998,98,2.15,73fcb144cb370aae40e79405cf5eefa2462668d394b7555a66787239b59aa751,300,5,1.0E-10,1.0E-5,6000,ATOMIC,300,[K]  300,XYZ,True,4845,0.031086,-21.44284270584,2.4334052255839995,90d637b943bdfd089f576400320c9dd3afcc7a69f4a5fb4b632554b0c6bb7f8f,4845,4545,True,True,4845,0.031086,-21.44284270584,2.4334052255839995,90d637b943bdfd089f576400320c9dd3afcc7a69f4a5fb4b632554b0c6bb7f8f,4845,4545,True
DZVP_IL_25/IL_25_z2-15,13,37.8,True,True,2023.1,ENERGY,DZVP-MOLOPT-GTH,True,True,29,1,20.0,e33c6bb8e60137e11924b33f0ad48c6a46f9cd4386fdfd698740344fb2aed195,3d92e25b93b7987e0bf192070270207c4ac372b06fb2a437003abaed2a51005d,2346,1250,998,98,2.15,eb1c28a3574a1c56015a3e2b8f8af2cec49c26b996b53ef36a5d8afb1d58f908,300,5,1.0E-10,1.0E-5,6000,ATOMIC,300,[K]  300,XYZ,True,4845,0.030676,-21.42325050936,2.443636705968,01a0e81e033f53bfe6227181a0ffc81c7fbebd2cb7cd4d794862bbe2bb56d7ce,4845,4545,True,True,4845,0.030676,-21.42325050936,2.443636705968,01a0e81e033f53bfe6227181a0ffc81c7fbebd2cb7cd4d794862bbe2bb56d7ce,4845,4545,True
DZVP_IL_25/IL_25_z2-15,14,38.4,True,True,2023.1,ENERGY,DZVP-MOLOPT-GTH,True,True,34,2,20.0,e33c6bb8e60137e11924b33f0ad48c6a46f9cd4386fdfd698740344fb2aed195,0640f20feb856b3b9cc87fe1f1dac0412c63aec3e036e59848aad5b23f95d532,2342,1250,995,97,2.15,6082c48e60e6a8d0d0a98aa5752f1d89a25d00a7cec70d60f56b5718996e8c4b,300,5,1.0E-10,1.0E-5,6000,ATOMIC,300,[K]  300,XYZ,True,4839,0.031527,-21.473618781143998,2.43895634792,809e74a23f3e574f0484ff2e3bbcf9f6fe67dc766134bfa3b9cdb5a826762f0d,4839,4539,True,True,4838,0.031527,-21.473618781143998,2.43433041264,1ef3bab0a2cfda383ed97257b48d1561e2e5b18576108edde4c00e1d24d3958f,4838,4538,True
DZVP_IL_25/IL_25_z2-15,15,39.0,True,True,2023.1,ENERGY,DZVP-MOLOPT-GTH,True,True,33,2,20.0,e33c6bb8e60137e11924b33f0ad48c6a46f9cd4386fdfd698740344fb2aed195,9b25a7e98929050389163a13eb29e99dbe54b20046029ac20dc03d620d180dfc,2344,1250,997,97,2.15,0ecd01e9141299baecd91e96558ac2e75981767f86ee8ef788cf1fff4796f43e,300,5,1.0E-10,1.0E-5,6000,ATOMIC,300,[K]  300,XYZ,True,4843,0.030153,-21.403358987656,2.484617050272,85e1534468072714fad8faabec8944369b826085e477cc03c4a729f27cc24afe,4843,4543,True,True,4842,0.030153,-21.403358987656,2.477759781504,3d6246365cc44d7cf47d0c6bfac5188e0a45e6f6d4dc2e8dd30c30dc0ef1bd38,4842,4542,True
DZVP_IL_25/IL_25_z2-15,16,39.6,True,True,2023.1,ENERGY,DZVP-MOLOPT-GTH,True,True,38,2,20.0,e33c6bb8e60137e11924b33f0ad48c6a46f9cd4386fdfd698740344fb2aed195,d79b425539e79601c55014258e3472b08f34bbb41486ea1ecb7171044feda747,2348,1250,1001,97,2.15,7b5769d3079fedbfc808ac550fd6410340a366f8a802e3342052413cc40376fb,300,5,1.0E-10,1.0E-5,6000,ATOMIC,300,[K]  300,XYZ,True,4851,0.030742,-21.420447736808,2.482168025712,d7a0545dbe3468fc25b4a26447bfdfe55badeff36a20a12941aa2be4d40190b7,4851,4551,True,True,4850,0.030742,-21.420447736808,2.478086318112,8722b3c60dc4a192dda215839567d6565d04d41484dff6fc585a915779455d27,4850,4550,True
DZVP_IL_25/IL_25_z2-15,17,40.2,True,True,2023.1,ENERGY,DZVP-MOLOPT-GTH,True,True,27,1,20.0,e33c6bb8e60137e11924b33f0ad48c6a46f9cd4386fdfd698740344fb2aed195,c8fa83d5ffcc6f58b1d9100497f04ba1d01f381009b472defa6c2262f3e4cd54,2342,1250,996,96,2.15,0115f306fd30a96ed5a1185cccfb8ffbf594bad71c66cfdff218807d9aa2abdd,300,5,1.0E-10,1.0E-5,6000,ATOMIC,300,[K]  300,XYZ,True,4840,0.030309,-21.409563183208,2.489270196936,e54e0b8827d44085004abbc18a6c9d14680e4ce5e4e679dab2dd057b37c87a71,4840,4540,True,True,4840,0.030309,-21.409563183208,2.489270196936,e54e0b8827d44085004abbc18a6c9d14680e4ce5e4e679dab2dd057b37c87a71,4840,4540,True
DZVP_IL_25/IL_25_z2-15,18,40.8,True,True,2023.1,ENERGY,DZVP-MOLOPT-GTH,True,True,31,1,20.0,e33c6bb8e60137e11924b33f0ad48c6a46f9cd4386fdfd698740344fb2aed195,b179d4b8ef96b10d8296522d170864369fdd41cb73836d06c2ab7595f6347e33,2336,1250,990,96,2.15,7f01c68056a69fce50e7e810a9699f4762d471eadd33439afe07e5a424784ce8,300,5,1.0E-10,1.0E-5,6000,ATOMIC,300,[K]  300,XYZ,True,4828,0.029579,-21.416774199968,2.480154383296,919e8edbcadbf36fa49c96f871275612067b352397058327dfe4f2949201d2a8,4828,4528,True,True,4828,0.029579,-21.416774199968,2.480154383296,919e8edbcadbf36fa49c96f871275612067b352397058327dfe4f2949201d2a8,4828,4528,True
