theta_deg,total,bottom_C,top_C,top_H
30.0,2358,1250,1009,99
30.6,2358,1250,1009,99
31.2,2352,1250,1005,97
31.8,2360,1250,1010,100
32.4,2354,1250,1005,99
33.0,2358,1250,1008,100
33.6,2362,1250,1013,99
34.2,2354,1250,1004,100
34.8,2346,1250,998,98
35.4,2352,1250,1003,99
36.0,2348,1250,999,99
36.6,2350,1250,1002,98
37.2,2346,1250,998,98
37.8,2346,1250,998,98
38.4,2342,1250,995,97
39.0,2344,1250,997,97
39.6,2348,1250,1001,97
40.2,2342,1250,996,96
40.8,2336,1250,990,96
41.4,2334,1250,988,96
42.0,2334,1250,989,95
42.6,2334,1250,989,95
43.2,2332,1250,988,94
43.8,2328,1250,985,93
44.4,2330,1250,986,94
45.0,2328,1250,984,94
45.6,2324,1250,983,91
46.2,2324,1250,983,91
46.8,2322,1250,981,91
47.4,2318,1250,978,90
48.0,2318,1250,978,90
48.6,2320,1250,980,90
49.2,2314,1250,975,89
49.8,2316,1250,977,89
50.4,2312,1250,974,88
51.0,2312,1250,974,88
51.6,2312,1250,974,88
52.2,2312,1250,974,88
52.8,2306,1250,970,86
53.4,2306,1250,970,86
54.0,2306,1250,970,86
54.6,2304,1250,968,86
55.2,2302,1250,967,85
55.8,2308,1250,971,87
56.4,2304,1250,967,87
57.0,2296,1250,960,86
57.6,2302,1250,967,85
58.2,2292,1250,957,85
58.8,2290,1250,955,85
59.4,2316,1250,981,85
60.0,2320,1250,986,84
